Description,Valence_Mean,Valence_ SD,Arousal_ Mean,Arousal_ SD,Word Frequency
icebox,4.95,1,4.17,2.11,3
idea,7,1.34,5.86,1.81,195
identity,6.57,1.99,4.95,2.24,55
idiot,3.16,1.91,4.21,2.47,2
idol,6.12,1.86,4.95,2.14,7
ignorance,3.07,2.25,4.39,2.49,16
illness,2.48,1.4,4.71,2.24,20
imagine,7.32,1.52,5.98,2.14,61
immature,3.39,1.7,4.15,1.96,7
immoral,3.5,2.16,4.98,2.48,5
impair,3.18,1.86,4.04,2.14,4
impotent,2.81,1.92,4.57,2.59,2
impressed,7.33,1.84,5.42,2.65,30
improve,7.65,1.16,5.69,2.15,39
incentive,7,1.72,5.69,2.45,12
indifferent,4.61,1.28,3.18,1.85,11
industry,5.3,1.61,4.47,2.43,171
infant,6.95,2.08,5.05,2.66,11
infatuation,6.73,2.08,7.02,1.87,4
infection,1.66,1.34,5.03,2.77,8
inferior,3.07,1.57,3.83,2.05,7
inhabitant,5.05,1.34,3.95,1.97,.
injury,2.49,1.76,5.69,2.06,27
ink,5.05,0.81,3.84,1.88,7
innocent,6.51,1.34,4.21,1.99,37
insane,2.85,1.94,5.83,2.45,13
insect,4.07,2.16,4.07,2.46,14
insecure,2.36,1.33,5.56,2.34,3
insolent,4.35,1.76,5.38,2.37,2
inspire,6.97,1.91,5,2.53,3
inspired,7.15,1.85,6.02,2.67,25
insult,2.29,1.33,6,2.46,7
intellect,6.82,1.96,4.75,2.5,5
intercourse,7.36,1.57,7,2.07,9
interest,6.97,1.53,5.66,2.26,330
intimate,7.61,1.51,6.98,2.21,21
intruder,2.77,2.32,6.86,2.41,1
invader,3.05,2.01,5.5,2.4,1
invest,5.93,2.1,5.12,2.42,3
iron,4.9,1.02,3.76,2.06,43
irritate,3.11,1.67,5.76,2.15,.
item,5.26,0.86,3.24,2.08,54
jail,1.95,1.27,5.49,2.67,21
jealousy,2.51,1.83,6.36,2.66,4
jelly,5.66,1.44,3.7,2.29,3
jewel,7,1.72,5.38,2.54,1
joke,8.1,1.36,6.74,1.84,22
jolly,7.41,1.92,5.57,2.8,4
journal,5.14,1.49,4.05,1.96,42
joy,8.6,0.71,7.22,2.13,40
joyful,8.22,1.22,5.98,2.54,1
jug,5.24,1.65,3.88,2.15,6
justice,7.78,1.35,5.47,2.54,114
kerchief,5.11,1.33,3.43,2.08,1
kerosene,4.8,1.59,4.34,2.51,6
ketchup,5.6,1.35,4.09,2.08,1
kettle,5.22,0.91,3.22,2.23,3
key,5.68,1.62,3.7,2.18,88
kick,4.31,2.18,4.9,2.35,16
kids,6.91,1.99,5.27,2.36,32
killer,1.89,1.39,7.86,1.89,21
kind,7.59,1.67,4.46,2.55,313
kindness,7.82,1.39,4.3,2.62,5
king,7.26,1.67,5.51,2.77,88
kiss,8.26,1.54,7.32,2.03,17
kitten,6.86,2.13,5.08,2.45,5
knife,3.62,2.18,5.8,2,76
knot,4.64,1.36,4.07,2.15,8
knowledge,7.58,1.32,5.92,2.32,145
lake,6.82,1.54,3.95,2.44,54
lamb,5.89,1.73,3.36,2.18,7
lamp,5.41,1,3.8,2.12,18
lantern,5.57,1.19,4.05,2.28,13
laughter,8.45,1.08,6.75,2.5,22
lavish,6.21,2.03,4.93,2.4,3
lawn,5.24,0.86,4,1.79,15
lawsuit,3.37,2,4.93,2.44,1
lazy,4.38,2.02,2.65,2.06,9
leader,7.63,1.59,6.27,2.18,74
learn,7.15,1.49,5.39,2.22,84
legend,6.39,1.34,4.88,1.76,26
leisurely,6.88,1.81,3.8,2.38,5
leprosy,2.09,1.4,6.29,2.23,1
lesbian,4.67,2.45,5.12,2.27,.
letter,6.61,1.59,4.9,2.37,145
liberty,7.98,1.22,5.6,2.65,46
lice,2.31,1.78,5,2.26,2
lie,2.79,1.92,5.96,2.63,59
